"Livestock: Inventory by Animal Type, Farm Type, Region, Province and Quarter, 1994-2023"

"Animal Type","Farm Type","Geolocation","1994 01 January","1994 01 April","1994 01 July","1994 01 October","1995 01 January","1995 01 April","1995 01 July","1995 01 October","1996 01 January","1996 01 April","1996 01 July","1996 01 October","1997 01 January","1997 01 April","1997 01 July","1997 01 October","1998 01 January","1998 01 April","1998 01 July","1998 01 October","1999 01 January","1999 01 April","1999 01 July","1999 01 October","2000 01 January","2000 01 April","2000 01 July","2000 01 October","2001 01 January","2001 01 April","2001 01 July","2001 01 October","2002 01 January","2002 01 April","2002 01 July","2002 01 October","2003 01 January","2003 01 April","2003 01 July","2003 01 October","2004 01 January","2004 01 April","2004 01 July","2004 01 October","2005 01 January","2005 01 April","2005 01 July","2005 01 October","2006 01 January","2006 01 April","2006 01 July","2006 01 October","2007 01 January","2007 01 April","2007 01 July","2007 01 October","2008 01 January","2008 01 April","2008 01 July","2008 01 October","2009 01 January","2009 01 April","2009 01 July","2009 01 October","2010 01 January","2010 01 April","2010 01 July","2010 01 October","2011 01 January","2011 01 April","2011 01 July","2011 01 October","2012 01 January","2012 01 April","2012 01 July","2012 01 October","2013 01 January","2013 01 April","2013 01 July","2013 01 October","2014 01 January","2014 01 April","2014 01 July","2014 01 October","2015 01 January","2015 01 April","2015 01 July","2015 01 October","2016 01 January","2016 01 April","2016 01 July","2016 01 October","2017 01 January","2017 01 April","2017 01 July","2017 01 October","2018 01 January","2018 01 April","2018 01 July","2018 01 October","2019 01 January","2019 01 April","2019 01 July","2019 01 October","2020 01 January","2020 01 April","2020 01 July","2020 01 October","2021 01 January","2021 01 April","2021 01 July","2021 01 October","2022 01 January","2022 01 April","2022 01 July","2022 01 October","2023 01 January","2023 01 April","2023 01 July","2023 01 October"
"Carabao","Backyard","PHILIPPINES",2555492,..,2664806,..,2702325,..,2832240,..,2835416,..,2944479,..,2981501,..,3015044,..,3006791,..,2986216,..,2999813,..,3012359,..,3018324,..,3044913,..,3059296,..,3094494,..,3115444,..,3143010,..,3172512,..,3226814,..,3263141,..,3296522,..,3319983,..,3331650,..,3354064,..,3384789,..,3377061,..,3352648,..,3332223,..,3322730,..,3314832,..,3311267,..,3262489,..,3121750,..,3063741,..,2991707,..,2951714,..,2919616,..,2900681,..,2873956,..,2835818,..,2844344,..,2842768,..,2862721,..,2865836,..,2876942,..,2870873,..,2872284,..,2871904,..,2867756,..,2863210,..,2858115,..,2855087,..,2887754,..,2839361,..,2837583,..,2769604,2766991,2762309,2781425,2766009,..,..,..
"Carabao","Backyard","National Capital Region (NCR)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Carabao","Backyard","Cordillera Administrative Region (CAR)",89882,..,97573,..,99245,..,115566,..,109621,..,107677,..,102985,..,103427,..,105083,..,103300,..,98726,..,92220,..,95258,..,95913,..,97937,..,93796,..,93803,..,89802,..,90335,..,91323,..,94522,..,95256,..,97535,..,96456,..,96665,..,96779,..,93100,..,89673,..,86845,..,86663,..,86296,..,88059,..,82953,..,83289,..,84717,..,86397,..,87405,..,90401,..,87834,..,88658,..,86403,..,86871,..,85094,..,86975,..,85338,..,85923,..,85562,..,86108,..,85904,..,86548,..,85370,..,86982,..,87720,..,91286,..,78022,..,78747,..,77218,77605,78637,79207,78579,..,..,..
"Carabao","Backyard","....Abra",24784,..,25952,..,26377,..,35461,..,28859,..,28948,..,29790,..,30014,..,30814,..,33916,..,32367,..,31570,..,32815,..,32038,..,32546,..,32832,..,33173,..,31556,..,32414,..,32702,..,34000,..,34202,..,34680,..,35661,..,35880,..,35831,..,35464,..,36933,..,37746,..,36433,..,36433,..,36996,..,37512,..,38484,..,39186,..,40679,..,40976,..,42965,..,41599,..,41902,..,39957,..,39006,..,36854,..,36660,..,34750,..,34521,..,33300,..,33140,..,31973,..,32200,..,30370,..,30590,..,29180,..,30725,..,15701,..,16408,..,17475,18075,17996,18591,17800,..,..,..
"Carabao","Backyard","....Apayao",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13441,..,13441,..,13635,..,13020,..,12000,..,10110,..,10020,..,10019,..,10221,..,10168,..,10390,..,9985,..,10540,..,9825,..,10937,..,11123,..,10183,..,10165,..,10905,..,9965,..,9671,..,10363,..,10813,..,11162,..,11620,..,11695,..,11851,..,12068,..,12227,..,12660,..,12657,..,13177,..,13014,..,13232,..,13216,..,13760,..,13810,..,14308,..,14300,..,15259,..,16785,..,17792,..,18290,..,17309,..,17856,17240,18175,18100,18045,..,..,..
"Carabao","Backyard","....Benguet",7503,..,12105,..,15333,..,22250,..,19010,..,19180,..,10542,..,10060,..,9952,..,8780,..,8779,..,8800,..,9914,..,10499,..,10880,..,10850,..,11197,..,11892,..,11650,..,11851,..,11894,..,12248,..,12440,..,13371,..,13537,..,14830,..,14448,..,13485,..,12522,..,13702,..,12648,..,15076,..,11846,..,9905,..,8805,..,9200,..,8964,..,9410,..,9141,..,9773,..,9482,..,10180,..,10260,..,11210,..,11300,..,11480,..,11806,..,11700,..,11655,..,11545,..,11325,..,11429,..,11212,..,11617,..,11433,..,11606,..,11427,11433,11445,11713,11546,..,..,..
"Carabao","Backyard","....Ifugao",16626,..,17122,..,16802,..,17478,..,17886,..,16658,..,17067,..,16315,..,17079,..,13451,..,13260,..,11490,..,10764,..,10088,..,10180,..,9590,..,9343,..,8792,..,7994,..,7596,..,7058,..,7066,..,6665,..,5420,..,5624,..,5686,..,5685,..,5736,..,5736,..,5574,..,6180,..,5838,..,6328,..,6691,..,7866,..,7669,..,7669,..,7962,..,7600,..,7392,..,7166,..,7020,..,7020,..,7060,..,7038,..,7080,..,7050,..,6956,..,7239,..,7095,..,7218,..,7215,..,7450,..,7447,..,7725,..,7649,..,5470,5270,5276,5280,5861,..,..,..
"Carabao","Backyard","....Kalinga",27063,..,28844,..,27359,..,28431,..,30388,..,29304,..,28931,..,29528,..,29728,..,28603,..,27637,..,24233,..,10559,..,11347,..,11498,..,8130,..,8224,..,7010,..,7404,..,7404,..,7500,..,7662,..,7860,..,8818,..,8964,..,9280,..,9976,..,9799,..,9318,..,9574,..,10151,..,10795,..,11243,..,11782,..,12196,..,11590,..,12362,..,12492,..,11833,..,11663,..,11486,..,12040,..,12354,..,13040,..,13397,..,13880,..,14570,..,15190,..,15920,..,16153,..,16963,..,17394,..,17980,..,18777,..,19804,..,20518,..,19585,20090,20170,19883,19657,..,..,..
"Carabao","Backyard","....Mountain Province",13906,..,13550,..,13374,..,11946,..,13478,..,13587,..,16655,..,17510,..,17510,..,18550,..,16683,..,16127,..,17765,..,18500,..,19198,..,19374,..,19866,..,20442,..,20853,..,21751,..,23849,..,23910,..,25500,..,23201,..,22120,..,21327,..,16590,..,12597,..,11340,..,11215,..,9979,..,9389,..,6353,..,6064,..,5851,..,6097,..,5814,..,5877,..,5810,..,5860,..,6085,..,5965,..,5949,..,5828,..,5839,..,5730,..,5620,..,5362,..,5307,..,5247,..,5194,..,5095,..,5113,..,4928,..,5069,..,5257,..,5405,5497,5575,5640,5670,..,..,..
"Carabao","Backyard","Region I (Ilocos Region)",155287,..,150434,..,161524,..,191648,..,194676,..,229429,..,244627,..,234309,..,230914,..,241429,..,237208,..,239872,..,249012,..,245459,..,241934,..,237476,..,233949,..,227189,..,214385,..,210951,..,212008,..,207419,..,207264,..,207077,..,203519,..,204019,..,202873,..,204220,..,205820,..,204324,..,206984,..,205217,..,185108,..,163348,..,155224,..,150203,..,152433,..,155003,..,160876,..,157153,..,156699,..,156581,..,159947,..,161071,..,163164,..,164276,..,165437,..,166170,..,169130,..,171618,..,169519,..,173765,..,177933,..,185161,..,184032,..,178890,..,165745,160828,156611,153234,150936,..,..,..
